Name, Year, Runtime, Rating, Votes
Kaubôi bibappu,(1998–1999),24 min,8.9,93656
Steins;Gate,(2011–2015),24 min,8.8,48281
Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,(1999),118 min,8.6,13481
Kenpû Denki Berserk,(1997–1998),23 min,8.7,30556
Baccano!,(2007–2008),384 min,8.3,10761
Mushishi,(2005–2006),25 min,8.5,12119
Berusaiyu no bara,(1979–1980),24 min,8.3,1765
Ginga eiyû densetsu,(1988–1997),25 min,9.1,2648
Ima soko ni iru boku,(1999–2000),25 min,7.9,1631
Hunter x Hunter,(2011–2014),24 min,9,65630
Usagi doroppu,(2011–2012),24 min,8.3,2905
Rurôni Kenshin - Meiji kenkaku romantan,(1996–1999),24 min,8.5,17810
Monster,(2004–2010),24 min,8.6,22331
Gyakkyô burai Kaiji,(2007–2011),23 min,8.3,2342
Mezon Ikkoku,(1986–1988),25 min,8.1,961
Vinland Saga,(2019),24 min,8.8,18468
Rupan sansei,(1971–1972),23 min,7.9,1903
Death Note: Desu nôto,(2006–2007),24 min,9,256171
Musekinin kanchô Tairâ,(1993–1996),NULL,7.7,400
Kôkaku kidôtai: Stand Alone Complex,(2002–2005),24 min,8.5,18131
GTO,(1999–2000),24 min,8.5,7426
Ashita no Jô,(1970–1971),30 min,8.3,390
One Punch Man: Wanpanman,(2015– ),24 min,8.8,125224
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,(2006–2012),24 min,8.7,54463
Romio no aoi sora,(1995– ),24 min,8.6,886
Black Lagoon,(2006),25 min,8,12793
Darker Than Black: Kuro no keiyakusha,(2007–2010),24 min,7.8,11178
Ranma ½,(1989),30 min,7.9,4722
Shin seiki evangerion,(1995–1996),24 min,8.5,54187
Seirei no moribito,(2007– ),25 min,8.3,2497
Gangureivu,(2003–2004),25 min,7.9,4658
Tengen toppa gurren lagann,(2007–2008),24 min,8.3,15358
Kureimoa,(2007),24 min,8,12487
Hagane no renkinjutsushi,(2003–2004),24 min,8.5,64096
Haibane Renmei,(2002– ),25 min,8,3324
Demon Slayer: Kimetsu No Yaiba,(2019– ),25 min,8.7,41429
Serial Experiments Lain,(1998),316 min,8.1,11568
Kôkyô shihen Eureka Sebun,(2005–2006),25 min,7.9,2902
Death Parade,(2015),24 min,7.9,12138
Chôjikû Yôsai Macross,(1982–1983),25 min,8.6,1933
Ôkami to kôshinryô,(2008–2009),24 min,8,3897
Phantom: Requiem for the Phantom,(2009– ),25 min,7.7,1523
Erufen rîto,(2004),24 min,8,30688
School Rumble,(2004–2010),25 min,7.8,1911
Hajime no ippo,(2000–2002),20 min,8.7,5654
Shôjo kakumei Utena,(1997),24 min,8,1404
Natsume yûjinchô,(2008– ),24 min,8.1,1749
Inuyasha,(2000–2004),24 min,7.9,14945
12 kokuki,(2002– ),NULL,8.1,1840
Kaiba,(2008),24 min,8.2,1445
Tenkû no Esukafurône,(1996),30 min,7.8,3926
Yu yu hakusho,(1992–1995),24 min,8.4,11891
Higurashi no naku koro ni,(2006),24 min,7.9,4941
Durarara!!,(2010),24 min,7.9,6584
Kidô Senshi Gundam,(1979–1980),30 min,8,1913
FLCL,(2000–2018),151 min,8.2,15776
Mirai shônen Konan,(1978),24 min,8.7,3811
Gankutsu-ô,(2004–2005),24 min,8,2249
N.H.K ni yôkoso!,(2006),24 min,8.3,5917
Rittai anime ie naki ko Remi,(1977–1978),24 min,7.9,980
Sureiyâzu,(1995–2009),25 min,7.6,2069
Planetes,(2003–2004),25 min,8.2,3360
Kimi ni todoke,(2009– ),24 min,7.8,3182
City Hunter,(1987–1991),24 min,7.8,1223
Ôran kôkô hosutobu,(2006),24 min,8.2,8633
Re mizeraburu: shoujo kozetto,(2007– ),24 min,7.8,178
Michiko to Hatchin,(2008– ),23 min,7.6,861
Bakemonogatari,(2009–2010),360 min,8,4614
Mononoke,(2007),25 min,8.3,1807
Purinsesu Chuchu,(2002–2003),30 min,8.1,907
Rainbow: Nishakubou no shichinin,(2010– ),30 min,8.3,1975
Taiyô no ko Esteban,(1982–1983),28 min,8.7,3594
Sayonara zetsubô sensei,(2007),24 min,7.6,842
Akage no An,(1979),24 min,7.8,1556
Uchû kaizoku kyaputen Hârokku,(1978–1979),24 min,7.8,1054
Chobits,(2002–2003),NULL,7.3,4170
Takarajima,(1978– ),24 min,8.4,978
Urusei Yatsura,(1981–1986),23 min,7.4,894
Wolf's Rain,(2003–2004),701 min,8,7280
Hokuto no Ken,(1984–1988),25 min,8.3,2772
Samurai chanpurû,(2004–2005),24 min,8.5,42274
Ef: A Tale of Memories.,(2007),NULL,7.5,735
Trigun,(1998),24 min,8.3,19754
Hellsing Ultimate,(2006–2012),50 min,8.3,20499
Toradora!,(2008–2009),24 min,8,11546
Kaleido Star,(2003–2004),23 min,7.8,830
Blood+,(2005–2006),NULL,7.6,4323
Golden Boy: Sasurai no o-benkyô yarô,(1995–1996),165 min,8,4682
JoJo no kimyô-na bôken,(2012– ),30 min,8.4,12019
Suzumiya Haruhi no yûutsu,(2006–2009),24 min,7.8,7731
XXXHOLiC,(2005– ),NULL,7.7,1683
Nodame kantâbire,(2007– ),25 min,8.1,1111
Seikai no monshô,(1999),26 min,7.7,469
Clannad,(2007–2008),30 min,7.9,8255
Katanagatari,(2010– ),50 min,7.9,1217
Kimagure orenji rôdo,(1985–1988),25 min,7.6,769
Mirai nikki,(2011–2013),25 min,7.6,15043
Koi kaze,(2004),25 min,7.4,379
Tekunoraizu,(2003),NULL,7.7,2412
Yojôhan shinwa taikei,(2010),NULL,8.5,3243
